,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
618,2014,1490mm,Grey,43428,Manual,260000.0,Hatchback,3395mm,Maruti,Petrol,chennai,5.0,Maruti Alto 800,1,Third Party insurance,796
619,2013,1595mm,White,67000,Manual,285000.0,Hatchback,3640mm,Chevrolet,Diesel,chennai,5.0,Chevrolet Beat,1,Comprehensive,936
620,2017,1745mm,Orange,70528,Automatic,616000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,1,Comprehensive,1197
621,2016,1734mm,White,35413,Manual,594000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Third Party insurance,1197
622,2018,1515mm,Others,40000,Manual,320000.0,Hatchback,3430mm,Maruti,Petrol,chennai,5.0,Maruti Alto 800,2,Third Party insurance,796
623,2017,1694mm,White,66285,Automatic,647000.0,Hatchback,3955mm,Honda,Petrol,chennai,5.0,Honda Jazz,1,Third Party insurance,1199
624,2019,1800mm,White,83129,Automatic,1400000.0,SUV,4315mm,Kia,Petrol,chennai,5.0,Kia Seltos,1,Zero Dep,1353
625,2016,1695,White,87055,Manual,600000.0,Sedan,4440,Honda,Petrol,chennai,5.0,Honda City,1,Comprehensive,1497
626,2019,1660mm,Others,37218,Manual,505000.0,Hatchback,3765mm,Hyundai,Petrol,chennai,5.0,Hyundai Grand i10,2,Third Party insurance,1197
627,2019,1770 mm,Others,60000,Manual,900000.0,SUV,3995 mm,Hyundai,Petrol,chennai,5.0,Hyundai Venue,1,Third Party insurance,998
628,2019,1734mm,Blue,33640,Manual,730000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Third Party insurance,1197
629,2020,1737mm,White,23608,Manual,648000.0,Hatchback,3954mm,Ford,Petrol,chennai,5.0,Ford Freestyle,1,Comprehensive,1194
630,2013,1710mm,Silver,22353,Manual,434999.99999999994,Hatchback,3995mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Comprehensive,1197
631,2017,1699mm,Others,120000,Automatic,900000.0,Sedan,4413mm,Skoda,Diesel,chennai,5.0,Skoda Rapid,1,Third Party insurance,1498
632,2018,1695mm,Silver,54241,Manual,740000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,1,Comprehensive,1497
633,2012,1620 mm,Blue,86173,Manual,320000.0,Hatchback,3655 mm,Maruti,Petrol,chennai,5.0,Maruti Wagon R,1,Third Party insurance,998
634,2011,1595mm,Red,91143,Manual,295000.0,Hatchback,3585mm,Hyundai,Petrol,chennai,5.0,Hyundai i10,1,Comprehensive,1197
635,2016,1835mm,Red,36000,Manual,790000.0,SUV,3995mm,Mahindra,Diesel,chennai,7.0,Mahindra TUV 300,1,Comprehensive,1493
636,2015,1695mm,Red,108818,Manual,530000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,1,Third Party insurance,1497
637,2011,1682mm,Others,120000,Manual,315000.0,Hatchback,3970mm,Volkswagen,Diesel,chennai,5.0,Volkswagen Polo,2,Third Party insurance,1199
638,2008,1770mm,Black,107000,Automatic,850000.0,Sedan,4591mm,Mercedes-Benz,Diesel,chennai,5.0,Mercedes-Benz C-Class,2,Comprehensive,2143
639,2014,1695mm,TITANIUM GREY,90530,Manual,570000.0,Sedan,4420mm,Honda,Petrol,chennai,5.0,Honda City,1,Comprehensive,1497
640,2016,1734mm,Red,77957,Manual,576000.0,Hatchback,3985mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Comprehensive,1197
